2022_08_26_09_50_19	3	20220826	94902	186	147	131
2022_08_26_09_50_19	2	20220826	94902	243	243	243
2022_08_26_09_50_19	1	20220826	94902	247	233	244
2022_08_26_09_50_19	0	20220826	94902	132	124	121
2022_08_26_09_50_19	3	20220826	94857	186	147	131
2022_08_26_09_50_19	2	20220826	94857	243	243	243
2022_08_26_09_50_19	1	20220826	94857	247	233	244
2022_08_26_09_50_19	0	20220826	94857	132	124	121
2022_08_26_09_50_19	3	20220826	94852	186	147	131
2022_08_26_09_50_19	2	20220826	94852	243	243	243
2022_08_26_09_50_19	1	20220826	94852	247	233	244
2022_08_26_09_50_19	0	20220826	94852	132	124	121
2022_08_26_09_50_19	3	20220826	94847	186	147	131
2022_08_26_09_50_19	2	20220826	94847	243	243	243
2022_08_26_09_50_19	1	20220826	94847	247	233	244
2022_08_26_09_50_19	0	20220826	94847	132	124	121
2022_08_26_09_50_19	3	20220826	94842	186	147	131
2022_08_26_09_50_19	2	20220826	94842	243	243	243
2022_08_26_09_50_19	1	20220826	94842	247	233	244
2022_08_26_09_50_19	0	20220826	94842	132	124	121
2022_08_26_09_50_19	3	20220826	94837	186	147	131
2022_08_26_09_50_19	2	20220826	94837	243	243	243
2022_08_26_09_50_19	1	20220826	94837	247	233	244
2022_08_26_09_50_19	0	20220826	94837	132	124	121
2022_08_26_09_50_19	3	20220826	94832	186	147	131
2022_08_26_09_50_19	2	20220826	94832	243	243	243
2022_08_26_09_50_19	1	20220826	94832	247	233	244
2022_08_26_09_50_19	0	20220826	94832	132	124	121
2022_08_26_09_50_19	0	0	0	0	0	0
2022_08_26_09_50_19	0	0	0	0	0	0
2022_08_26_09_50_19	0	0	0	0	0	0
